vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-09-07 00:00:00,,,7.75,1419.0000000000036,9075,0.15636363636363676,36.3,1.8000000000000043,38.1,,2022-10-15 00:00:00,,7.67,1253.0000000000011,9025,0.13883656509695302,36.1,1.6000000000000014,37.7,,,,,,,,,,,,,,,,,,
2022-09-08 00:00:00,,,7.84,1751.0000000000023,8850,0.19785310734463302,35.4,2.200000000000003,37.6,,2022-10-16 00:00:00,,7.82,921.0000000000024,8074.999999999999,0.11405572755417988,32.3,1.2000000000000028,33.5,,,,,,,,,,,,,,,,,,
2022-09-09 00:00:00,,,7.84,1003.9999999999976,9275,0.10824797843665743,37.1,1.2999999999999972,38.4,,2022-10-17 00:00:00,,7.98,1170,8750,0.1337142857142857,35,1.5,36.5,3:30am,Jason,,,,,,,,,,,,,,,,
2022-09-10 00:00:00,,,7.83,1086.9999999999989,9525,0.11412073490813636,38.1,1.3999999999999986,39.5,,2022-10-18 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
2022-09-11 00:00:00,,,7.81,1668.0000000000011,9150,0.18229508196721325,36.6,2.1000000000000014,38.7,,2022-10-19 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
2022-09-12 00:00:00,,,7.8,1253.0000000000011,9150,0.13693989071038265,36.6,1.6000000000000014,38.2,,2022-10-20 00:00:00,,7.68,838.0000000000011,8600,0.09744186046511641,34.4,1.1000000000000014,35.5,4:25am,Jason,,,,,,,,,,,,,,,,
2022-09-13 00:00:00,,,7.86,1253.0000000000011,8875,0.14118309859154943,35.5,1.6000000000000014,37.1,,2022-10-21 00:00:00,,7.8,920.9999999999965,8775,0.10495726495726455,35.1,1.1999999999999957,36.3,,,,,,,,,,,,,,,,,,
2022-09-14 00:00:00,,,7.77,1999.9999999999998,8950,0.22346368715083798,35.8,2.5,38.3,,2022-10-22 00:00:00,,7.89,1252.9999999999952,8300,0.15096385542168617,33.2,1.5999999999999943,34.8,12:20hs ,Jason,,,,,,,,,,,,,,,,
2022-09-14 00:00:00,09:57:00,,7.76,1419.0000000000036,8350,0.16994011976047949,33.4,1.8000000000000043,35.2,,2022-10-23 00:00:00,,7.91,921.0000000000024,8074.999999999999,0.11405572755417988,32.3,1.2000000000000028,33.5,Jason,,,,,,,,,,,,,,,,,
2022-09-15 00:00:00,,,7.58,1170,7850,0.14904458598726114,31.4,1.5,32.9,,2022-10-24 00:00:00,,8.01,1501.9999999999989,8875,0.1692394366197182,35.5,1.8999999999999986,37.4,Jason,,,,,,,,,,,,,,,,,
