Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2024-06-28,26,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,26220.0,Playón,624,FEJ852/LJH045,0.2666,Leonardo,,,,,5.0
2024-06-28,26,Lactosa,Remotti S.A.,,Federico Fogliatto,28480.0,Buffer,623,FEJ852/LJH045,0.1255,Leonardo,,,,,-1.0
2024-06-28,26,Lactosa,Remotti S.A.,,Federico Fogliatto,27100.0,Buffer,625,JXJ011/GDF812,0.1306,Agustin ,,,,,
2024-06-29,26,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4680.0,Buffer,627,WTG 975,0.5445,Leonardo,,,,,
2024-06-29,26,Lactosa,Remotti S.A.,,Federico Fogliatto,28680.0,Buffer,626,JXJ011/GDF812,0.1332,Leonardo,,,,,
2024-07-01,27,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,16000.0,Playón,628,FEJ852/LJH045,0.2484,Cristián,,,,,
2024-07-03,27,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,27260.0,Playón,629,FEJ852/LJH045,0.2333,Cristián,,,,,
2024-07-03,27,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Granada,Transcereal S.A,12600.0,Playón,630,AE527SN/AE378UO,0.8296,Leonardo,,,,,
2024-07-03,27,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Granada,Transcereal S.A,8060.0,Playón,631,FBK151 / AD510FS,0.8382,Leonardo,,,,,
2024-07-04,27,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27520.0,Buffer,632,KKS989/JDF165,0.0579,Leonardo,,,,,
2024-07-04,27,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Ameghino,Transcereal S.A,13180.0,Playón,633,FBK151 / AD510FS,0.8695,Leonardo,,,,,
2024-07-05,27,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,17100.0,Playón,634,FEJ852/LJH045,0.2812,Cristián,,,,,
2024-07-05,27,Barrido Cargil,Cargill S.A.C.I.,,Don Victor,7660.0,Playón,635,OWX854,0.8033,Cristián,,,,,
2024-07-05,27,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4860.0,Buffer,636,WTG 975,0.5664,Leonardo,,,,,
2024-07-06,27,Barrido Cargil,Cargill S.A.C.I.,,Don Victor,5800.0,Playón,637,ETC597/XIE425,,Cristián,,,,,
2024-07-06,27,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,20000.0,Buffer,638,KKS989/JDF165,0.0663,Leonardo,,,,,
2024-07-08,28,Lactosa,Remotti S.A.,,Federico Fogliatto,27760.0,Buffer,639,kkS989/JDF165,0.1314,Gustavo,,,,,
2024-07-09,28,Suero ,Nonna Pia S.R.L.,Laboulaye/Rufino,Agustin Cabeza,29720.0,Buffer,640,SBB8585/AGJ450,0.0424,Gustavo,,,,,
2024-07-09,28,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,Ameghino,Transcereal S.A,19800.0,Playón,641,HKS375/NTK363,0.9504,Gustavo,,,,,
2024-07-09,28,Lactosa,Remotti S.A.,,Federico Fogliatto,28180.0,Buffer,642,KKS 989/HQK147,0.126,Gustavo,,,,,
2024-07-09,28,Lactosa,Remotti S.A.,,Federico Fogliatto,28470.0,Buffer,643,JXJ011/GDF812,0.1328,Gustavo,,,,,
2024-07-10,28,Lactosa,Remotti S.A.,,Federico Fogliatto,28020.0,Buffer,644,AGOO1MB/JDF165,0.1289,Gustavo,,,,,
2024-07-10,28,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4700.0,Buffer,645,WTG 975,0.3392,Cristián,,,,,
2024-07-10,28,Suero ,Nonna Pia S.R.L.,Laboulaye/rufino,Agustin Cabeza,23600.0,Buffer,646,NYQ911/AGS450,0.0531,Cristián,,,,,
2024-07-11,28,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,13840.0,Playón,647,FEJ852/LJH045,0.2465,Gustavo,,,,,
2024-07-11,28,Lactosa,Remotti S.A.,,Federico Fogliatto,26200.0,Buffer,648,jXJ011/GDF812,0.1319,Cristián,,,,,
2024-07-11,28,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,4860.0,Buffer,649,WTG 975,0.3158,Cristián,,,,,
2024-07-12,28,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,26060.0,Playón,650,FEJ852/AE310WL,0.2482,Cristián,,,,,
2024-07-12,28,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,7640.0,Playón,651,AA649IJ/AA946CW,,Cristián,,,,,
2024-07-12,28,lactosa,Remotti S.A.,,Federico Fogliatto,28020.0,Buffer,652,jXJ011/GDF812,0.1309,Cristián,,,,,
2024-07-13,28,lactosa,Remotti S.A.,,Federico Fogliatto,28440.0,Buffer,653,jXJ011/GDF812,0.1213,Agustin ,,,,,
2024-07-14,29,lactosa,Remotti S.A.,,Federico Fogliatto,28100.0,Buffer,654,jXJ011/GDF812,0.129,Agustin ,,,,,
2024-07-15,29,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia Mariana,15800.0,Playón,655,FEJ852/LJH045,0.2559,Agustin ,,,,,
2024-07-15,29,Lactosa,Remotti S.A.,,Federico Fogliatto,29000.0,Buffer,656,jXJ011/GDF812,0.1264,Gustavo,,,,,
2024-07-15,29,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,28000.0,Buffer,657,WYQ411/AGS450,0.0809,Leonardo,,,,,
2024-07-16,29,Lactosa,Remotti S.A.,,Federico Fogliatto,28460.0,Buffer,658,jXJ011/GDF812,0.1149,Agustin ,,,,,
